"Index","Original Thai","Locations","Claude score","Claude verdict","Claude raw verdict","Claude issue","Claude suggestion","agy score","agy verdict","agy raw verdict","agy issue","agy suggestion","Average","Score difference","Status"
"TH-001","LitWise — คู่มือการทบทวนวรรณกรรมสำหรับนักวิจัย","app/guide-client.tsx:451:33","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-002","เมนูหลัก","app/guide-client.tsx:458:44","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-003","ต้องการผลการทบทวนเพื่อประกอบการตัดสินใจอย่างเร่งด่วน","app/guide-data.ts:431:29; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-10","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-004","ลดขั้นตอนบางส่วนอย่างโปร่งใส เพื่อให้ได้คำตอบที่นำไปใช้ได้ภายในไม่กี่สัปดาห์","app/guide-data.ts:431:98; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-10","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-005","บททบทวนสำหรับวิทยานิพนธ์","app/guide-data.ts:432:30; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-10","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-006","ค้นอย่างเป็นระบบและสังเคราะห์อย่างมีเหตุผล โดยเรียกชื่อวิธีให้ตรงกับสิ่งที่ทำจริง","app/guide-data.ts:432:71; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-10","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-007","งานสังเคราะห์เพื่อการตีพิมพ์","app/guide-data.ts:433:35; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-10","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-008","วางโครงร่างล่วงหน้า มีผู้ทบทวนเป็นทีม ค้นอย่างครอบคลุม ประเมินคุณภาพ และรายงานตามมาตรฐาน","app/guide-data.ts:433:80; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-10","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-009","การทบทวนงานทบทวนอย่างเป็นระบบ (umbrella review)","app/guide-data.ts:437:31; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-16","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-010","สังเคราะห์งานทบทวน","app/guide-data.ts:437:90","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-011","สังเคราะห์ผลจากงานทบทวนวรรณกรรมอย่างเป็นระบบที่มีอยู่ โดยไม่ย้อนกลับไปวิเคราะห์งานวิจัยปฐมภูมิทุกชิ้น","app/guide-data.ts:438:18; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-16","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-012","เหมาะเมื่อหัวข้อมีงานทบทวนคุณภาพดีหลายชุด และต้องการเปรียบเทียบผลกับระดับความเชื่อมั่นในภาพรวม","app/guide-data.ts:439:18","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-013","ไม่เหมาะเมื่อมีงานวิจัยปฐมภูมิใหม่กว่างานทบทวนเดิม งานทบทวนซ้ำซ้อนกันมาก หรือคุณภาพโดยรวมต่ำ","app/guide-data.ts:440:20","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-014","ผลสังเคราะห์ในระดับงานทบทวน พร้อมข้อมูลความซ้ำซ้อน คุณภาพ และประเด็นที่ยังไม่แน่นอน","app/guide-data.ts:441:17","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-015","โดยมาก 6–12 เดือน","app/guide-data.ts:442:15","5","PASS","PASS","-","-","3","REVISE","REVISE","คำว่า โดยมาก ไม่เป็นธรรมชาติในการระบุระยะเวลา","โดยทั่วไป 6–12 เดือน","4.0","2","ควรทบทวน"
"TH-016","กำหนดคำถาม","app/guide-data.ts:443:17; app/i18n.ts:376:15","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-017","ค้นหางานทบทวน","app/guide-data.ts:443:31","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-018","ตรวจความซ้ำซ้อนของงานวิจัยต้นทาง","app/guide-data.ts:443:48","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-019","ประเมินคุณภาพงานทบทวน","app/guide-data.ts:443:84","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-020","สังเคราะห์ระดับความเชื่อมั่น","app/guide-data.ts:443:109","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-021","ประเมินคุณภาพงานทบทวน และแสดงให้ชัดหากงานวิจัยปฐมภูมิชิ้นเดียวถูกนับซ้ำในหลายงานทบทวน","app/guide-data.ts:444:18","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-022","การทบทวนแบบเร่งรัด","app/guide-data.ts:447:28; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-16","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-023","การตัดสินใจเร่งด่วน","app/guide-data.ts:447:58","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-024","ลดขอบเขตหรือขั้นตอนบางส่วนตามแผนที่กำหนดไว้ เมื่อต้องใช้หลักฐานประกอบการตัดสินใจอย่างเร่งด่วน","app/guide-data.ts:448:18; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-16","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-025","เหมาะกับการตัดสินใจด้านนโยบาย บริการ หรือโครงการที่มีผู้ใช้ผลชัดเจนและมีกำหนดเวลาแน่นอน","app/guide-data.ts:449:18","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-026","ไม่เหมาะเมื่อจำเป็นต้องค้นให้ครอบคลุมที่สุด หรือการลดขั้นตอนอาจทำให้ข้อสรุปในเรื่องสำคัญคลาดเคลื่อน","app/guide-data.ts:450:20","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-027","รายงานหลักฐานที่เสร็จตามกรอบเวลา พร้อมระบุขั้นตอนที่ลดลง ความไม่แน่นอน และแผนปรับปรุงในอนาคต","app/guide-data.ts:451:17","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-028","โดยมาก 2–12 สัปดาห์","app/guide-data.ts:452:15","5","PASS","PASS","-","-","3","REVISE","REVISE","คำว่า โดยมาก ไม่เป็นธรรมชาติในการระบุระยะเวลา","โดยทั่วไป 2–12 สัปดาห์","4.0","2","ควรทบทวน"
"TH-029","ตกลงขอบเขตการตัดสินใจ","app/guide-data.ts:453:17","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-030","กำหนดขั้นตอนที่จะลด","app/guide-data.ts:453:42","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-031","ค้นและคัดกรอง","app/guide-data.ts:453:65; app/i18n.ts:376:48","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-032","ประเมินหลักฐานสำคัญ","app/guide-data.ts:453:82","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-033","รายงานข้อจำกัด","app/guide-data.ts:453:105","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-034","กำหนดขั้นตอนที่จะลดไว้ล่วงหน้า และอธิบายผลที่อาจเกิดขึ้นต่อข้อสรุป","app/guide-data.ts:454:18","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-035","การค้นและทบทวนวรรณกรรมอย่างเป็นระบบ","app/guide-data.ts:457:40; app/guide-data.ts:492:106; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-16","3","REVISE","REVISE","ชื่อหัวข้อกำกวมว่า อย่างเป็นระบบ ขยายทั้งการค้นและการทบทวนหรือแค่การทบทวน อาจทำให้เข้าใจผิดว่าเป็นการทบทวนวรรณกรรมอย่างเป็นระบบเต็มรูปแบบ ซึ่งขัดกับเนื้อหาที่เน้นแยกสองคำนี้ให้ชัด","การค้นอย่างเป็นระบบเพื่อทบทวนวรรณกรรม","5","PASS","PASS","-","-","4.0","2","ควรทบทวน"
"TH-036","การค้นเพื่อวิทยานิพนธ์","app/guide-data.ts:457:87","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-037","ค้นอย่างโปร่งใสและให้ผู้อื่นค้นตามได้ แล้วสังเคราะห์ในระดับที่เหมาะกับวิทยานิพนธ์หรือข้อเสนอโครงการ","app/guide-data.ts:458:18; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-16","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-038","เหมาะกับงานบัณฑิตศึกษาที่ต้องการบททบทวนซึ่งมีหลักฐานรองรับชัดเจน แต่ไม่ได้ทำการทบทวนวรรณกรรมอย่างเป็นระบบเต็มรูปแบบ","app/guide-data.ts:459:18","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-039","ไม่ควรใช้ชื่อเรื่องหรือข้อสรุปที่สื่อว่าค้นครอบคลุมทั้งหมด หากไม่มีทีม ประเมินคุณภาพไม่ครบ หรือไม่ได้วางโครงร่างล่วงหน้า","app/guide-data.ts:460:20","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-040","บันทึกการค้นที่ตรวจสอบย้อนหลังได้ ผลการคัดกรอง ตารางหลักฐาน และบทสังเคราะห์เชิงบรรยายตามขอบเขตที่กำหนด","app/guide-data.ts:461:17","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-041","โดยมาก 2–6 เดือน","app/guide-data.ts:462:15","5","PASS","PASS","-","-","3","REVISE","REVISE","คำว่า โดยมาก ไม่เป็นธรรมชาติในการระบุระยะเวลา","โดยทั่วไป 2–6 เดือน","4.0","2","ควรทบทวน"
"TH-042","กำหนดขอบเขตบท","app/guide-data.ts:463:17","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-043","สร้างชุดคำค้น","app/guide-data.ts:463:34","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-044","บันทึกการค้น","app/guide-data.ts:463:51; app/guide-data.ts:528:162; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-30","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-045","คัดกรองสม่ำเสมอ","app/guide-data.ts:463:67","5","PASS","PASS","-","-","3","REVISE","REVISE","คำว่า สม่ำเสมอ ไม่เหมาะกับชื่อขั้นตอนการคัดกรองเอกสารวิจัย","คัดกรองตามเกณฑ์","4.0","2","ควรทบทวน"
"TH-046","สังเคราะห์ตามคำถาม","app/guide-data.ts:463:86","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-047","เรียกชื่อวิธีให้ตรงกับสิ่งที่ทำ และแยกให้ชัดระหว่างการค้นอย่างเป็นระบบกับการทบทวนวรรณกรรมอย่างเป็นระบบเต็มรูปแบบ","app/guide-data.ts:464:18","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-048","การสังเคราะห์แบบเมตาชาติพันธุ์วรรณนา","app/guide-data.ts:467:39; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-16","4","PASS","PASS","-","-","5","PASS","PASS","-","-","4.5","1","ผ่าน"
"TH-049","การสังเคราะห์เชิงตีความ","app/guide-data.ts:467:87","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-050","นำแนวคิดจากงานวิจัยเชิงคุณภาพหลายชิ้นมาเทียบเคียงและตีความร่วมกัน เพื่อพัฒนาคำอธิบายหรือทฤษฎีใหม่","app/guide-data.ts:468:18; workshop/LitWise-Literature-Review-Workshop-TH.pptx#slide-16","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-051","เหมาะกับกลุ่มงานวิจัยเชิงคุณภาพที่มีขอบเขตชัดและมีแนวคิดมากพอให้นำมาเปรียบเทียบกันได้","app/guide-data.ts:469:18","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-052","ไม่เหมาะเมื่อข้อค้นพบบางเกินไป ขาดข้อมูลบริบท หรือทีมต้องการเพียงสรุปหัวข้อเชิงพรรณนา","app/guide-data.ts:470:20","5","PASS","PASS","-","-","3","REVISE","REVISE","คำว่า ข้อค้นพบบางเกินไป แปลตรงตัวมาจาก thin findings","ข้อค้นพบน้อยเกินไป หรือ ข้อค้นพบมีรายละเอียดน้อยเกินไป","4.0","2","ควรทบทวน"
"TH-053","ความสัมพันธ์ของแนวคิดทั้งส่วนที่สอดคล้องและขัดแย้งกัน พร้อมข้ออธิบายหรือการตีความใหม่","app/guide-data.ts:471:17","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-054","โดยมาก 6–15 เดือน","app/guide-data.ts:472:15; app/i18n.ts:405:13","5","PASS","PASS","-","-","3","REVISE","REVISE","คำว่า โดยมาก ไม่เป็นธรรมชาติในการระบุระยะเวลา","โดยทั่วไป 6–15 เดือน","4.0","2","ควรทบทวน"
"TH-055","เลือกชุดงานที่มีขอบเขตชัด","app/guide-data.ts:473:17","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-056","อ่านเชิงตีความ","app/guide-data.ts:473:46","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-057","เปรียบเทียบความสัมพันธ์ระหว่างงาน","app/guide-data.ts:473:64","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-058","เทียบเคียงแนวคิด","app/guide-data.ts:473:101","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
"TH-059","สร้างคำอธิบายใหม่","app/guide-data.ts:473:121","5","PASS","PASS","-","-","5","PASS","PASS","-","-","5.0","0","ผ่าน"
