"Index","Original Thai","Source group","Flagged by","Claude score","agy score","Issue","Suggestion","Original locations"
"TH-015","โดยมาก 6–12 เดือน","เว็บไซต์","agy","5","3","คำว่า โดยมาก ไม่เป็นธรรมชาติในการระบุระยะเวลา","โดยทั่วไป 6–12 เดือน","app/guide-data.ts:442:15"
"TH-028","โดยมาก 2–12 สัปดาห์","เว็บไซต์","agy","5","3","คำว่า โดยมาก ไม่เป็นธรรมชาติในการระบุระยะเวลา","โดยทั่วไป 2–12 สัปดาห์","app/guide-data.ts:452:15"
"TH-041","โดยมาก 2–6 เดือน","เว็บไซต์","agy","5","3","คำว่า โดยมาก ไม่เป็นธรรมชาติในการระบุระยะเวลา","โดยทั่วไป 2–6 เดือน","app/guide-data.ts:462:15"
"TH-045","คัดกรองสม่ำเสมอ","เว็บไซต์","agy","5","3","คำว่า สม่ำเสมอ ไม่เหมาะกับชื่อขั้นตอนการคัดกรองเอกสารวิจัย","คัดกรองตามเกณฑ์","app/guide-data.ts:463:67"
"TH-052","ไม่เหมาะเมื่อข้อค้นพบบางเกินไป ขาดข้อมูลบริบท หรือทีมต้องการเพียงสรุปหัวข้อเชิงพรรณนา","เว็บไซต์","agy","5","3","คำว่า ข้อค้นพบบางเกินไป แปลตรงตัวมาจาก thin findings","ข้อค้นพบน้อยเกินไป หรือ ข้อค้นพบมีรายละเอียดน้อยเกินไป","app/guide-data.ts:470:20"
"TH-054","โดยมาก 6–15 เดือน","เว็บไซต์","agy","5","3","คำว่า โดยมาก ไม่เป็นธรรมชาติในการระบุระยะเวลา","โดยทั่วไป 6–15 เดือน","app/guide-data.ts:472:15; app/i18n.ts:405:13"
"TH-067","โดยมาก 4–10 เดือน","เว็บไซต์","agy","5","3","คำว่า โดยมาก ไม่เป็นธรรมชาติในการระบุระยะเวลา","โดยทั่วไป 4–10 เดือน","app/guide-data.ts:482:15"
"TH-082","กำหนดขอบเขตให้ชัด และค้นด้วยคำศัพท์กับฐานข้อมูลจากมากกว่าหนึ่งศาสตร์","เว็บไซต์","Claude","3","5","ใช้คำเชื่อม กับ เชื่อมคำศัพท์และฐานข้อมูล ทำให้ประโยคอ่านสะดุดไม่เป็นธรรมชาติ","ค้นด้วยคำศัพท์และฐานข้อมูลจากมากกว่าหนึ่งศาสตร์","app/guide-data.ts:493:16"
"TH-088","การประเมินคุณภาพขึ้นกับวัตถุประสงค์ ไม่ได้บังคับเสมอ ต้องระบุและให้เหตุผล","เว็บไซต์","Claude","3","5","สามอนุประโยคสั้นต่อกันโดยไม่มีคำเชื่อม อ่านแล้วรู้สึกขาดตอนคล้ายโน้ตย่อมากกว่าประโยคที่ลื่นไหล","การประเมินคุณภาพขึ้นอยู่กับวัตถุประสงค์ของการทบทวน ไม่จำเป็นต้องทำเสมอไป แต่ต้องระบุและให้เหตุผลหากไม่ได้ทำ","app/guide-data.ts:497:131"
"TH-118","ค้นฐานงานทบทวนและฐานบรรณานุกรม พร้อมติดตามความซ้ำซ้อนของงานปฐมภูมิ","เว็บไซต์","agy","5","3","สำนวนห้วนและกำกวมในคำว่า ค้นฐานงานทบทวน","ค้นจากฐานข้อมูลงานทบทวนวรรณกรรม","app/guide-data.ts:505:27"
